Agency Name,Indicator Name,Period,Monthly Actual
Long Island Rail Road,Total Ridership,2019-06,7736345
Long Island Rail Road,Total Ridership,2019-05,7974945.46
Long Island Rail Road,Total Ridership,2019-04,7724037.6
Long Island Rail Road,Total Ridership,2019-03,7515113.2
Long Island Rail Road,Total Ridership,2019-02,6544350.5
Long Island Rail Road,Total Ridership,2019-01,7166693
Long Island Rail Road,Total Ridership,2018-12,7582808
Long Island Rail Road,Total Ridership,2018-11,7477649
Long Island Rail Road,Total Ridership,2018-10,8172734
Long Island Rail Road,Total Ridership,2018-09,7227262
Long Island Rail Road,Total Ridership,2018-08,7858108
Long Island Rail Road,Total Ridership,2018-07,7752358
Long Island Rail Road,Total Ridership,2018-06,7940642.4
Long Island Rail Road,Total Ridership,2018-05,7716073
Long Island Rail Road,Total Ridership,2018-04,7267217
Long Island Rail Road,Total Ridership,2018-03,7412000.6
Long Island Rail Road,Total Ridership,2018-02,6544350.5
Long Island Rail Road,Total Ridership,2018-01,6882948
Long Island Rail Road,Total Ridership,2017-12,7321816
Long Island Rail Road,Total Ridership,2017-11,7376934
Long Island Rail Road,Total Ridership,2017-10,7818376
Long Island Rail Road,Total Ridership,2017-09,7413822
Long Island Rail Road,Total Ridership,2017-08,7816201
Long Island Rail Road,Total Ridership,2017-07,7455744
Long Island Rail Road,Total Ridership,2017-06,7943275
Long Island Rail Road,Total Ridership,2017-05,7642164
Long Island Rail Road,Total Ridership,2017-04,7158667
Long Island Rail Road,Total Ridership,2017-03,7723528
Long Island Rail Road,Total Ridership,2017-02,6522399
Long Island Rail Road,Total Ridership,2017-01,6958391
Long Island Rail Road,Total Ridership,2016-12,7646609
Long Island Rail Road,Total Ridership,2016-11,7385548
Long Island Rail Road,Total Ridership,2016-10,7553444
Long Island Rail Road,Total Ridership,2016-09,7589091
Long Island Rail Road,Total Ridership,2016-08,7940051
Long Island Rail Road,Total Ridership,2016-07,7621000
Long Island Rail Road,Total Ridership,2016-06,7969169
Long Island Rail Road,Total Ridership,2016-05,7483655
Long Island Rail Road,Total Ridership,2016-04,7271823
Long Island Rail Road,Total Ridership,2016-03,7757041
Long Island Rail Road,Total Ridership,2016-02,6614306
Long Island Rail Road,Total Ridership,2016-01,6483006
Long Island Rail Road,Total Ridership,2015-12,7761607
Long Island Rail Road,Total Ridership,2015-11,7027591
Long Island Rail Road,Total Ridership,2015-10,7686741
Long Island Rail Road,Total Ridership,2015-09,7491598
Long Island Rail Road,Total Ridership,2015-08,7563444
Long Island Rail Road,Total Ridership,2015-07,7873688
Long Island Rail Road,Total Ridership,2015-06,7777803
Long Island Rail Road,Total Ridership,2015-05,7262655
Long Island Rail Road,Total Ridership,2015-04,7313844
Long Island Rail Road,Total Ridership,2015-03,7384700
Long Island Rail Road,Total Ridership,2015-02,6142068
Long Island Rail Road,Total Ridership,2015-01,6362309
Long Island Rail Road,Total Ridership,2014-12,7594356
Long Island Rail Road,Total Ridership,2014-11,6681433
Long Island Rail Road,Total Ridership,2014-10,7663987
Long Island Rail Road,Total Ridership,2014-09,7297453
Long Island Rail Road,Total Ridership,2014-08,7399382
Long Island Rail Road,Total Ridership,2014-07,7626108
Long Island Rail Road,Total Ridership,2014-06,7509011
Long Island Rail Road,Total Ridership,2014-05,7250532
Long Island Rail Road,Total Ridership,2014-04,7189777
Long Island Rail Road,Total Ridership,2014-03,6983094
Long Island Rail Road,Total Ridership,2014-02,6107685
Long Island Rail Road,Total Ridership,2014-01,6565428
Long Island Rail Road,Total Ridership,2013-12,7203268
Long Island Rail Road,Total Ridership,2013-11,6666796
Long Island Rail Road,Total Ridership,2013-10,7431994
Long Island Rail Road,Total Ridership,2013-09,6790701
Long Island Rail Road,Total Ridership,2013-08,7274722
Long Island Rail Road,Total Ridership,2013-07,7401120
Long Island Rail Road,Total Ridership,2013-06,6994737
Long Island Rail Road,Total Ridership,2013-05,7112429
Long Island Rail Road,Total Ridership,2013-04,6961659
Long Island Rail Road,Total Ridership,2013-03,6897877
Long Island Rail Road,Total Ridership,2013-02,6020679
Long Island Rail Road,Total Ridership,2013-01,6628268
Long Island Rail Road,Total Ridership,2012-12,6858868
Long Island Rail Road,Total Ridership,2012-11,5607406
Long Island Rail Road,Total Ridership,2012-10,6621963
Long Island Rail Road,Total Ridership,2012-09,6719248
Long Island Rail Road,Total Ridership,2012-08,7482932
Long Island Rail Road,Total Ridership,2012-07,7289683
Long Island Rail Road,Total Ridership,2012-06,7235529
Long Island Rail Road,Total Ridership,2012-05,7172588
Long Island Rail Road,Total Ridership,2012-04,6858130
Long Island Rail Road,Total Ridership,2012-03,7102378
Long Island Rail Road,Total Ridership,2012-02,6373028
Long Island Rail Road,Total Ridership,2012-01,6431658
Long Island Rail Road,Total Ridership,2011-12,7167781
Long Island Rail Road,Total Ridership,2011-11,6815374
Long Island Rail Road,Total Ridership,2011-10,6903268
Long Island Rail Road,Total Ridership,2011-09,6887995
Long Island Rail Road,Total Ridership,2011-08,6837184
Long Island Rail Road,Total Ridership,2011-07,7042470
Long Island Rail Road,Total Ridership,2011-06,7178901
Long Island Rail Road,Total Ridership,2011-05,6739212
Long Island Rail Road,Total Ridership,2011-04,6651960
Long Island Rail Road,Total Ridership,2011-03,7031512
Long Island Rail Road,Total Ridership,2011-02,5836491
Long Island Rail Road,Total Ridership,2011-01,5890855
Long Island Rail Road,Total Ridership,2010-12,6985089
Long Island Rail Road,Total Ridership,2010-11,6563349
Long Island Rail Road,Total Ridership,2010-10,6804525
Long Island Rail Road,Total Ridership,2010-09,6834199
Long Island Rail Road,Total Ridership,2010-08,7108665
Long Island Rail Road,Total Ridership,2010-07,7238718
Long Island Rail Road,Total Ridership,2010-06,7279744
Long Island Rail Road,Total Ridership,2010-05,6743764
Long Island Rail Road,Total Ridership,2010-04,6931286
Long Island Rail Road,Total Ridership,2010-03,7007149
Long Island Rail Road,Total Ridership,2010-02,5811552
Long Island Rail Road,Total Ridership,2010-01,6247660
Long Island Rail Road,Total Ridership,2009-12,7002228
Long Island Rail Road,Total Ridership,2009-11,6532672
Long Island Rail Road,Total Ridership,2009-10,6997677
